episode,reward,length,epsilon,lr,eval_reward
1,16.0,17,0.99,0.001,
2,21.0,22,0.9801,0.001,
3,40.0,41,0.9702989999999999,0.001,
4,23.0,24,0.96059601,0.001,
5,19.0,20,0.9509900498999999,0.001,
6,12.0,13,0.9414801494009999,0.001,
7,14.0,15,0.9320653479069899,0.001,
8,34.0,35,0.92274469442792,0.001,
9,30.0,31,0.9135172474836407,0.001,
10,29.0,30,0.9043820750088043,0.001,
11,34.0,35,0.8953382542587163,0.001,
12,29.0,30,0.8863848717161291,0.001,
13,37.0,38,0.8775210229989678,0.001,
14,18.0,19,0.8687458127689781,0.001,
15,16.0,17,0.8600583546412883,0.001,
16,11.0,12,0.8514577710948754,0.001,
17,13.0,14,0.8429431933839266,0.001,
18,16.0,17,0.8345137614500874,0.001,
19,17.0,18,0.8261686238355865,0.001,
20,20.0,21,0.8179069375972307,0.001,26.6
21,15.0,16,0.8097278682212583,0.001,
22,22.0,23,0.8016305895390458,0.001,
23,8.0,9,0.7936142836436553,0.001,
24,22.0,23,0.7856781408072188,0.001,
25,20.0,21,0.7778213593991465,0.001,
26,36.0,37,0.7700431458051551,0.001,
27,11.0,12,0.7623427143471035,0.001,
28,16.0,17,0.7547192872036325,0.001,
29,9.0,10,0.7471720943315961,0.001,
30,18.0,19,0.7397003733882802,0.001,
31,61.0,62,0.7323033696543974,0.001,
32,22.0,23,0.7249803359578534,0.001,
33,17.0,18,0.7177305325982748,0.001,
34,13.0,14,0.7105532272722921,0.001,
35,26.0,27,0.7034476949995692,0.001,
36,9.0,10,0.6964132180495735,0.001,
37,22.0,23,0.6894490858690777,0.001,
38,21.0,22,0.682554595010387,0.001,
39,18.0,19,0.6757290490602831,0.001,
40,21.0,22,0.6689717585696803,0.001,27.9
41,10.0,11,0.6622820409839835,0.001,
42,8.0,9,0.6556592205741436,0.001,
43,25.0,26,0.6491026283684022,0.001,
44,16.0,17,0.6426116020847181,0.001,
45,16.0,17,0.6361854860638709,0.001,
46,23.0,24,0.6298236312032323,0.001,
47,13.0,14,0.6235253948912,0.001,
48,16.0,17,0.617290140942288,0.001,
49,19.0,20,0.6111172395328651,0.001,
50,18.0,19,0.6050060671375365,0.001,
51,58.0,59,0.5989560064661611,0.001,
52,12.0,13,0.5929664464014994,0.001,
53,43.0,44,0.5870367819374844,0.001,
54,47.0,48,0.5811664141181095,0.001,
55,32.0,33,0.5753547499769285,0.001,
56,81.0,82,0.5696012024771592,0.001,
57,53.0,54,0.5639051904523876,0.001,
58,22.0,23,0.5582661385478638,0.001,
59,15.0,16,0.5526834771623851,0.001,
60,24.0,25,0.5471566423907612,0.001,31.0
61,21.0,22,0.5416850759668536,0.001,
62,18.0,19,0.536268225207185,0.001,
63,10.0,11,0.5309055429551132,0.001,
64,22.0,23,0.525596487525562,0.001,
65,20.0,21,0.5203405226503064,0.001,
66,30.0,31,0.5151371174238033,0.001,
67,13.0,14,0.5099857462495653,0.001,
68,24.0,25,0.5048858887870696,0.001,
69,9.0,10,0.4998370298991989,0.001,
70,9.0,10,0.49483865960020695,0.001,
71,13.0,14,0.4898902730042049,0.001,
72,18.0,19,0.48499137027416284,0.001,
73,15.0,16,0.4801414565714212,0.001,
74,17.0,18,0.475340042005707,0.001,
75,49.0,50,0.47058664158564995,0.001,
76,12.0,13,0.4658807751697934,0.001,
77,19.0,20,0.4612219674180955,0.001,
78,17.0,18,0.45660974774391455,0.001,
79,15.0,16,0.4520436502664754,0.001,
80,17.0,18,0.44752321376381066,0.001,29.2
81,14.0,15,0.44304798162617254,0.001,
82,26.0,27,0.4386175018099108,0.001,
83,26.0,27,0.4342313267918117,0.001,
