episode,reward,length,epsilon,lr,eval_reward
1,30.0,31,1.0,0.03,
2,25.0,26,0.995,0.03,
3,39.0,40,0.990025,0.03,
4,13.0,14,0.985074875,0.03,
5,22.0,23,0.9801495006250001,0.03,
6,15.0,16,0.9752487531218751,0.03,
7,21.0,22,0.9703725093562657,0.03,
8,56.0,57,0.9655206468094844,0.03,
9,18.0,19,0.960693043575437,0.03,
10,20.0,21,0.9558895783575597,0.03,
11,13.0,14,0.9511101304657719,0.03,
12,14.0,15,0.946354579813443,0.03,
13,29.0,30,0.9416228069143757,0.03,
14,26.0,27,0.9369146928798039,0.03,
15,23.0,24,0.9322301194154049,0.03,
16,27.0,28,0.9275689688183278,0.03,
17,14.0,15,0.9229311239742362,0.03,
18,16.0,17,0.918316468354365,0.03,
19,35.0,36,0.9137248860125932,0.03,
20,25.0,26,0.9091562615825302,0.03,18.5
21,16.0,17,0.9046104802746175,0.03,
22,21.0,22,0.9000874278732445,0.03,
23,13.0,14,0.8955869907338783,0.03,
24,75.0,76,0.8911090557802088,0.03,
25,11.0,12,0.8866535105013078,0.03,
26,13.0,14,0.8822202429488013,0.03,
27,13.0,14,0.8778091417340573,0.03,
28,15.0,16,0.8734200960253871,0.03,
29,26.0,27,0.8690529955452602,0.03,
30,50.0,51,0.8647077305675338,0.03,
31,22.0,23,0.8603841919146962,0.03,
32,38.0,39,0.8560822709551227,0.03,
33,11.0,12,0.851801859600347,0.03,
34,29.0,30,0.8475428503023453,0.03,
35,19.0,20,0.8433051360508336,0.03,
36,13.0,14,0.8390886103705794,0.03,
37,34.0,35,0.8348931673187264,0.03,
38,13.0,14,0.8307187014821328,0.03,
39,45.0,46,0.8265651079747222,0.03,
40,10.0,11,0.8224322824348486,0.03,28.3
41,27.0,28,0.8183201210226743,0.03,
42,65.0,66,0.8142285204175609,0.03,
43,13.0,14,0.810157377815473,0.03,
44,13.0,14,0.8061065909263957,0.03,
45,57.0,58,0.8020760579717637,0.03,
46,49.0,50,0.798065677681905,0.03,
47,32.0,33,0.7940753492934954,0.03,
48,17.0,18,0.7901049725470279,0.03,
49,42.0,43,0.7861544476842928,0.03,
50,16.0,17,0.7822236754458713,0.03,
51,30.0,31,0.778312557068642,0.03,
52,32.0,33,0.7744209942832988,0.03,
53,19.0,20,0.7705488893118823,0.03,
54,31.0,32,0.7666961448653229,0.03,
55,27.0,28,0.7628626641409962,0.03,
56,25.0,26,0.7590483508202912,0.03,
57,25.0,26,0.7552531090661897,0.03,
58,22.0,23,0.7514768435208588,0.03,
59,10.0,11,0.7477194593032545,0.03,
60,18.0,19,0.7439808620067382,0.03,31.9
61,33.0,34,0.7402609576967045,0.03,
62,59.0,60,0.736559652908221,0.03,
63,43.0,44,0.7328768546436799,0.03,
64,25.0,26,0.7292124703704616,0.03,
65,24.0,25,0.7255664080186093,0.03,
66,20.0,21,0.7219385759785162,0.03,
67,25.0,26,0.7183288830986236,0.03,
68,38.0,39,0.7147372386831305,0.03,
69,26.0,27,0.7111635524897149,0.03,
70,15.0,16,0.7076077347272662,0.03,
71,16.0,17,0.7040696960536299,0.03,
72,18.0,19,0.7005493475733617,0.03,
73,25.0,26,0.697046600835495,0.03,
74,17.0,18,0.6935613678313175,0.03,
75,14.0,15,0.6900935609921609,0.03,
76,15.0,16,0.6866430931872001,0.03,
77,57.0,58,0.6832098777212641,0.03,
78,38.0,39,0.6797938283326578,0.03,
79,24.0,25,0.6763948591909945,0.03,
80,20.0,21,0.6730128848950395,0.03,23.8
81,32.0,33,0.6696478204705644,0.03,
82,25.0,26,0.6662995813682115,0.03,
83,20.0,21,0.6629680834613705,0.03,
84,12.0,13,0.6596532430440636,0.03,
85,21.0,22,0.6563549768288433,0.03,
86,12.0,13,0.653073201944699,0.03,
87,18.0,19,0.6498078359349755,0.03,
88,28.0,29,0.6465587967553006,0.03,
89,15.0,16,0.6433260027715241,0.03,
