episode,reward,length,avg_q,eval_reward
125,10.0,11,0.5371084840724134,
126,39.0,40,0.5344229416520513,
127,43.0,44,0.531750826943791,
128,19.0,20,0.5290920728090721,
129,15.0,16,0.5264466124450268,
130,20.0,21,0.5238143793828016,
131,61.0,62,0.5211953074858876,
132,11.0,12,0.5185893309484582,
133,10.0,11,0.5159963842937159,
134,23.0,24,0.5134164023722473,
135,56.0,57,0.510849320360386,
136,11.0,12,0.5082950737585841,
137,57.0,58,0.5057535983897912,
138,19.0,20,0.5032248303978422,
139,15.0,16,0.500708706245853,
140,11.0,12,0.4982051627146237,
141,21.0,22,0.49571413690105054,
142,11.0,12,0.4932355662165453,
143,50.0,51,0.4907693883854626,
144,72.0,73,0.4883155414435353,
145,55.0,56,0.4858739637363176,
146,22.0,23,0.483444593917636,
147,25.0,26,0.4810273709480478,
148,19.0,20,0.47862223409330756,
149,16.0,17,0.47622912292284103,
150,24.0,25,0.4738479773082268,
151,23.0,24,0.47147873742168567,
152,72.0,73,0.46912134373457726,
153,36.0,37,0.46677573701590436,
154,95.0,96,0.46444185833082485,
155,11.0,12,0.46211964903917074,
156,12.0,13,0.4598090507939749,
157,42.0,43,0.457510005540005,
158,42.0,43,0.45522245551230495,
159,34.0,35,0.4529463432347434,
160,13.0,14,0.4506816115185697,
161,29.0,30,0.4484282034609769,
162,84.0,85,0.446186062443672,
163,17.0,18,0.4439551321314536,
164,29.0,30,0.4417353564707963,
165,32.0,33,0.43952667968844233,
166,10.0,11,0.43732904629000013,
167,19.0,20,0.4351424010585501,
168,25.0,26,0.43296668905325736,
169,19.0,20,0.43080185560799106,
170,61.0,62,0.4286478463299511,
171,12.0,13,0.42650460709830135,
172,10.0,11,0.42437208406280985,
173,23.0,24,0.4222502236424958,
174,12.0,13,0.42013897252428334,
175,55.0,56,0.4180382776616619,
176,18.0,19,0.4159480862733536,
177,11.0,12,0.41386834584198684,
178,26.0,27,0.4117990041127769,
179,49.0,50,0.40974000909221303,
180,103.0,104,0.40769130904675194,
181,13.0,14,0.40565285250151817,
182,62.0,63,0.4036245882390106,
183,24.0,25,0.4016064652978155,
184,20.0,21,0.3995984329713264,
185,107.0,108,0.3976004408064698,
186,11.0,12,0.39561243860243744,
187,36.0,37,0.3936343764094253,
188,53.0,54,0.39166620452737816,
189,35.0,36,0.3897078735047413,
190,37.0,38,0.3877593341372176,
191,83.0,84,0.3858205374665315,
192,29.0,30,0.38389143477919885,
193,10.0,11,0.3819719776053028,
194,33.0,34,0.3800621177172763,
195,19.0,20,0.37816180712868996,
196,49.0,50,0.37627099809304654,
197,9.0,10,0.3743896431025813,
198,64.0,65,0.37251769488706843,
199,45.0,46,0.3706551064126331,
200,25.0,26,0.36880183088056995,
201,11.0,12,0.3669578217261671,
202,77.0,78,0.36512303261753626,
203,22.0,23,0.3632974174544486,
204,20.0,21,0.3614809303671764,
205,14.0,15,0.3596735257153405,
206,23.0,24,0.3578751580867638,
207,13.0,14,0.35608578229633,
208,41.0,42,0.3543053533848483,
209,23.0,24,0.35253382661792404,
210,25.0,26,0.3507711574848344,
211,14.0,15,0.34901730169741024,
212,25.0,26,0.3472722151889232,
213,11.0,12,0.3455358541129786,
214,86.0,87,0.3438081748424137,
215,12.0,13,0.3420891339682016,
216,79.0,80,0.3403786882983606,
217,17.0,18,0.3386767948568688,
218,33.0,34,0.33698341088258443,
219,81.0,82,0.3352984938281715,
220,24.0,25,0.33362200135903064,
221,41.0,42,0.33195389135223546,
222,56.0,57,0.3302941218954743,
223,11.0,12,0.32864265128599696,
224,15.0,16,0.326999438029567,
225,11.0,12,0.3253644408394192,
226,11.0,12,0.3237376186352221,
227,37.0,38,0.322118930542046,
228,17.0,18,0.32050833588933575,
229,55.0,56,0.31890579420988907,
230,77.0,78,0.3173112652388396,
231,107.0,108,0.3157247089126454,
232,24.0,25,0.3141460853680822,
233,22.0,23,0.3125753549412418,
234,27.0,28,0.31101247816653554,
235,32.0,33,0.30945741577570285,
236,41.0,42,0.3079101286968243,
237,43.0,44,0.3063705780533402,
238,21.0,22,0.30483872516307353,
239,39.0,40,0.3033145315372582,
240,41.0,42,0.3017979588795719,
241,30.0,31,0.30028896908517405,
242,68.0,69,0.2987875242397482,
243,14.0,15,0.29729358661854943,
244,11.0,12,0.29580711868545667,
245,26.0,27,0.2943280830920294,
246,17.0,18,0.29285644267656924,
247,22.0,23,0.2913921604631864,
248,17.0,18,0.28993519966087045,
249,12.0,13,0.2884855236625661,
250,9.0,10,0.28704309604425327,
251,62.0,63,0.285607880564032,
252,12.0,13,0.28417984116121187,
253,12.0,13,0.2827589419554058,
254,12.0,13,0.28134514724562876,
255,32.0,33,0.2799384215094006,
256,14.0,15,0.27853872940185365,
257,21.0,22,0.27714603575484437,
258,46.0,47,0.2757603055760701,
259,89.0,90,0.2743815040481898,
260,25.0,26,0.2730095965279488,
261,90.0,91,0.27164454854530906,
262,86.0,87,0.2702863258025825,
263,17.0,18,0.2689348941735696,
264,48.0,49,0.26759021970270175,
265,80.0,81,0.2662522686041882,
266,74.0,75,0.2649210072611673,
267,9.0,10,0.26359640222486147,
268,19.0,20,0.26227842021373715,
269,42.0,43,0.2609670281126685,
270,24.0,25,0.25966219297210513,
271,45.0,46,0.2583638820072446,
272,11.0,12,0.2570720625972084,
273,27.0,28,0.25578670228422234,
274,10.0,11,0.25450776877280124,
275,72.0,73,0.2532352299289372,
276,117.0,118,0.2519690537792925,
277,11.0,12,0.2507092085103961,
278,11.0,12,0.2494556624678441,
279,65.0,66,0.24820838415550486,
280,11.0,12,0.24696734223472733,
281,12.0,13,0.2457325055235537,
282,52.0,53,0.24450384299593592,
283,20.0,21,0.24328132378095624,
284,30.0,31,0.24206491716205145,
285,10.0,11,0.2408545925762412,
286,22.0,23,0.23965031961336,
287,82.0,83,0.2384520680152932,
288,13.0,14,0.23725980767521673,
289,16.0,17,0.23607350863684065,
290,13.0,14,0.23489314109365644,
291,33.0,34,0.23371867538818816,
292,19.0,20,0.23255008201124722,
293,17.0,18,0.231387331601191,
294,26.0,27,0.23023039494318503,
295,46.0,47,0.2290792429684691,
296,32.0,33,0.22793384675362674,
297,15.0,16,0.22679417751985861,
298,104.0,105,0.22566020663225933,
299,37.0,38,0.22453190559909803,
300,42.0,43,0.22340924607110255,
301,12.0,13,0.22229219984074702,
302,7.0,8,0.2211807388415433,
303,55.0,56,0.22007483514733558,
304,44.0,45,0.2189744609715989,
305,24.0,25,0.2178795886667409,
306,34.0,35,0.2167901907234072,
307,79.0,80,0.21570623976979014,
308,103.0,104,0.21462770857094118,
309,30.0,31,0.21355457002808648,
310,75.0,76,0.21248679717794605,
311,8.0,9,0.21142436319205632,
312,93.0,94,0.21036724137609603,
313,48.0,49,0.20931540516921554,
314,11.0,12,0.20826882814336947,
315,11.0,12,0.20722748400265262,
316,19.0,20,0.20619134658263935,
317,23.0,24,0.20516038984972615,
318,109.0,110,0.2041345879004775,
319,83.0,84,0.2031139149609751,
320,23.0,24,0.20209834538617025,
321,121.0,122,0.2010878536592394,
322,9.0,10,0.2000824143909432,
323,108.0,109,0.19908200231898848,
324,26.0,27,0.19808659230739353,
325,19.0,20,0.19709615934585656,
326,16.0,17,0.19611067854912728,
327,87.0,88,0.19513012515638165,
328,30.0,31,0.19415447453059972,
329,50.0,51,0.19318370215794672,
330,22.0,23,0.192217783647157,
331,12.0,13,0.1912566947289212,
332,21.0,22,0.1903004112552766,
333,79.0,80,0.18934890919900021,
334,9.0,10,0.18840216465300522,
335,81.0,82,0.18746015382974018,
336,53.0,54,0.1865228530605915,
337,44.0,45,0.18559023879528855,
338,44.0,45,0.1846622876013121,
339,45.0,46,0.18373897616330553,
340,74.0,75,0.182820281282489,
341,52.0,53,0.18190617987607657,
342,29.0,30,0.18099664897669618,
343,33.0,34,0.1800916657318127,
344,11.0,12,0.17919120740315364,
345,79.0,80,0.17829525136613786,
346,23.0,24,0.17740377510930716,
347,11.0,12,0.17651675623376062,
348,46.0,47,0.1756341724525918,
349,53.0,54,0.17475600159032884,
350,87.0,88,0.17388222158237718,
351,24.0,25,0.1730128104744653,
352,27.0,28,0.17214774642209296,
353,11.0,12,0.1712870076899825,
354,31.0,32,0.17043057265153258,
355,11.0,12,0.16957841978827493,
356,13.0,14,0.16873052768933355,
357,46.0,47,0.1678868750508869,
358,18.0,19,0.16704744067563246,
359,128.0,129,0.1662122034722543,
360,29.0,30,0.16538114245489302,
361,24.0,25,0.16455423674261854,
362,86.0,87,0.16373146555890544,
363,70.0,71,0.16291280823111093,
364,26.0,27,0.16209824418995536,
365,14.0,15,0.16128775296900558,
366,20.0,21,0.16048131420416054,
367,14.0,15,0.15967890763313974,
368,12.0,13,0.15888051309497406,
369,14.0,15,0.1580861105294992,
370,44.0,45,0.1572956799768517,
371,19.0,20,0.15650920157696743,
372,10.0,11,0.1557266555690826,
373,11.0,12,0.1549480222912372,
374,109.0,110,0.15417328217978102,
375,42.0,43,0.1534024157688821,
376,39.0,40,0.1526354036900377,
377,106.0,107,0.1518722266715875,
378,11.0,12,0.15111286553822956,
379,13.0,14,0.15035730121053842,
380,24.0,25,0.14960551470448571,
381,13.0,14,0.14885748713096328,
382,51.0,52,0.14811319969530845,
383,16.0,17,0.1473726336968319,
384,102.0,103,0.14663577052834775,
385,77.0,78,0.14590259167570602,
386,17.0,18,0.1451730787173275,
387,45.0,46,0.14444721332374086,
388,28.0,29,0.14372497725712216,
389,12.0,13,0.14300635237083656,
390,102.0,103,0.14229132060898236,
391,12.0,13,0.14157986400593744,
392,21.0,22,0.14087196468590776,
393,11.0,12,0.14016760486247823,
394,9.0,10,0.13946676683816583,
395,31.0,32,0.138769433003975,
396,101.0,102,0.13807558583895513,
397,112.0,113,0.13738520790976036,
398,54.0,55,0.13669828187021155,
399,27.0,28,0.13601479046086049,
400,12.0,13,0.1353347165085562,
401,54.0,55,0.1346580429260134,
402,26.0,27,0.13398475271138335,
403,20.0,21,0.13331482894782642,
404,11.0,12,0.13264825480308728,
405,111.0,112,0.13198501352907185,
406,13.0,14,0.1313250884614265,
407,20.0,21,0.13066846301911936,
408,96.0,97,0.13001512070402377,
409,116.0,117,0.12936504510050365,
410,10.0,11,0.12871821987500112,
411,100.0,101,0.12807462877562611,
412,21.0,22,0.12743425563174798,
413,22.0,23,0.12679708435358925,
414,7.0,8,0.1261630989318213,
415,29.0,30,0.1255322834371622,
416,81.0,82,0.12490462201997637,
417,12.0,13,0.1242800989098765,
418,41.0,42,0.12365869841532712,
419,12.0,13,0.12304040492325048,
420,43.0,44,0.12242520289863423,
421,43.0,44,0.12181307688414106,
422,13.0,14,0.12120401149972035,
423,73.0,74,0.12059799144222175,
424,37.0,38,0.11999500148501063,
425,38.0,39,0.11939502647758558,
426,105.0,106,0.11879805134519765,
427,83.0,84,0.11820406108847166,
428,10.0,11,0.1176130407830293,
429,13.0,14,0.11702497557911415,
430,37.0,38,0.11643985070121858,
431,95.0,96,0.11585765144771248,
432,109.0,110,0.11527836319047392,
433,13.0,14,0.11470197137452155,
434,77.0,78,0.11412846151764894,
435,25.0,26,0.1135578192100607,
436,11.0,12,0.11299003011401039,
437,14.0,15,0.11242507996344034,
438,36.0,37,0.11186295456362313,
439,100.0,101,0.11130363979080501,
440,18.0,19,0.11074712159185099,
441,127.0,128,0.11019338598389174,
442,16.0,17,0.10964241905397228,
443,118.0,119,0.10909420695870241,
444,22.0,23,0.1085487359239089,
445,43.0,44,0.10800599224428936,
446,55.0,56,0.10746596228306791,
447,47.0,48,0.10692863247165257,
448,40.0,41,0.1063939893092943,
449,10.0,11,0.10586201936274783,
450,106.0,107,0.10533270926593409,
451,136.0,137,0.10480604571960442,
452,136.0,137,0.1042820154910064,
453,48.0,49,0.10376060541355137,
454,42.0,43,0.1032418023864836,
455,16.0,17,0.10272559337455119,
456,87.0,88,0.10221196540767843,
457,25.0,26,0.10170090558064004,
458,16.0,17,0.10119240105273684,
459,100.0,101,0.10068643904747315,
460,136.0,137,0.10018300685223579,
461,20.0,21,0.0996820918179746,
462,40.0,41,0.09918368135888474,
463,83.0,84,0.09868776295209031,
464,24.0,25,0.09819432413732986,
465,18.0,19,0.09770335251664321,
466,22.0,23,0.09721483575406,
467,112.0,113,0.09672876157528969,
468,12.0,13,0.09624511776741324,
469,11.0,12,0.09576389217857617,
470,14.0,15,0.09528507271768329,
471,11.0,12,0.09480864735409487,
472,90.0,91,0.0943346041173244,
473,12.0,13,0.09386293109673778,
474,26.0,27,0.09339361644125409,
475,112.0,113,0.09292664835904782,
476,22.0,23,0.09246201511725258,
477,24.0,25,0.09199970504166631,
478,143.0,144,0.09153970651645797,
479,14.0,15,0.09108200798387568,
480,29.0,30,0.0906265979439563,
481,28.0,29,0.09017346495423652,
482,70.0,71,0.08972259762946533,
483,152.0,153,0.089273984641318,
484,122.0,123,0.0888276147181114,
485,14.0,15,0.08838347664452084,
486,109.0,110,0.08794155926129824,
487,22.0,23,0.08750185146499175,
488,26.0,27,0.08706434220766679,
489,140.0,141,0.08662902049662846,
490,129.0,130,0.08619587539414532,
491,93.0,94,0.08576489601717459,
492,16.0,17,0.08533607153708872,
493,35.0,36,0.08490939117940327,
494,43.0,44,0.08448484422350626,
495,23.0,24,0.08406242000238873,
496,16.0,17,0.08364210790237678,
497,14.0,15,0.0832238973628649,
498,51.0,52,0.08280777787605056,
499,18.0,19,0.08239373898667031,
500,20.0,21,0.08198177029173696,
501,83.0,84,0.08157186144027828,
502,77.0,78,0.0811640021330769,
503,22.0,23,0.08075818212241151,
504,11.0,12,0.08035439121179945,
505,137.0,138,0.07995261925574046,
506,60.0,61,0.07955285615946175,
507,11.0,12,0.07915509187866444,
508,18.0,19,0.07875931641927113,
509,51.0,52,0.07836551983717477,
510,18.0,19,0.07797369223798889,
511,20.0,21,0.07758382377679894,
512,12.0,13,0.07719590465791494,
513,62.0,63,0.07680992513462537,
514,83.0,84,0.07642587550895225,
515,108.0,109,0.07604374613140748,
516,98.0,99,0.07566352740075044,
517,31.0,32,0.07528520976374668,
518,95.0,96,0.07490878371492794,
519,104.0,105,0.0745342397963533,
520,37.0,38,0.07416156859737154,
521,103.0,104,0.07379076075438468,
522,66.0,67,0.07342180695061275,
523,86.0,87,0.07305469791585968,
524,115.0,116,0.07268942442628039,
525,25.0,26,0.07232597730414898,
526,22.0,23,0.07196434741762824,
527,67.0,68,0.0716045256805401,
528,26.0,27,0.0712465030521374,
529,136.0,137,0.0708902705368767,
530,11.0,12,0.07053581918419231,
531,25.0,26,0.07018314008827135,
532,38.0,39,0.06983222438783,
533,69.0,70,0.06948306326589085,
534,103.0,104,0.0691356479495614,
535,20.0,21,0.06878996970981359,
536,120.0,121,0.06844601986126451,
537,106.0,107,0.06810378976195819,
538,144.0,145,0.0677632708131484,
539,24.0,25,0.06742445445908266,
540,22.0,23,0.06708733218678724,
541,24.0,25,0.0667518955258533,
542,26.0,27,0.06641813604822402,
543,24.0,25,0.0660860453679829,
544,12.0,13,0.06575561514114299,
545,13.0,14,0.06542683706543727,
546,138.0,139,0.06509970288011008,
547,133.0,134,0.06477420436570952,
548,24.0,25,0.06445033334388098,
549,135.0,136,0.06412808167716157,
550,10.0,11,0.06380744126877576,
551,26.0,27,0.06348840406243188,
552,71.0,72,0.06317096204211972,
553,33.0,34,0.06285510723190912,
554,114.0,115,0.06254083169574957,
555,20.0,21,0.062228127537270826,
556,12.0,13,0.06191698689958447,
557,70.0,71,0.061607401965086545,
558,18.0,19,0.06129936495526111,
559,12.0,13,0.0609928681304848,
560,21.0,22,0.060687903789832374,
561,89.0,90,0.06038446427088321,
562,37.0,38,0.06008254194952879,
563,8.0,9,0.05978212923978115,
564,43.0,44,0.05948321859358224,
565,54.0,55,0.05918580250061433,
566,11.0,12,0.058889873488111255,
567,19.0,20,0.058595424120670696,
568,114.0,115,0.05830244700006734,
569,13.0,14,0.058010934765067,
570,154.0,155,0.05772088009124167,
571,19.0,20,0.05743227569078546,
572,43.0,44,0.05714511431233153,
573,44.0,45,0.05685938874076987,
574,75.0,76,0.056575091797066025,
575,103.0,104,0.056292216338080694,
576,53.0,54,0.05601075525639029,
577,116.0,117,0.05573070148010834,
578,18.0,19,0.0554520479727078,
579,10.0,11,0.05517478773284426,
580,24.0,25,0.05489891379418004,
581,28.0,29,0.05462441922520914,
582,95.0,96,0.0543512971290831,
583,85.0,86,0.05407954064343768,
584,121.0,122,0.05380914294022049,
585,29.0,30,0.05354009722551939,
586,13.0,14,0.05327239673939179,
587,10.0,11,0.053006034755694834,
588,13.0,14,0.052741004581916356,
589,37.0,38,0.052477299559006776,
590,118.0,119,0.052214913061211746,
591,105.0,106,0.05195383849590569,
592,11.0,12,0.05169406930342616,
593,92.0,93,0.05143559895690903,
594,116.0,117,0.051178420962124486,
595,22.0,23,0.05092252885731386,
596,103.0,104,0.05066791621302729,
597,30.0,31,0.05041457663196215,
598,61.0,62,0.050162503748802344,
599,9.0,10,0.049911691230058335,
600,127.0,128,0.04966213277390804,
601,65.0,66,0.0494138221100385,
602,38.0,39,0.04916675299948831,
603,77.0,78,0.04892091923449087,
604,133.0,134,0.04867631463831842,
605,11.0,12,0.048432933065126825,
606,9.0,10,0.048190768399801194,
607,119.0,120,0.04794981455780219,
608,114.0,115,0.04771006548501318,
609,36.0,37,0.047471515157588115,
610,24.0,25,0.047234157581800176,
611,111.0,112,0.046997986793891174,
612,136.0,137,0.04676299685992172,
613,137.0,138,0.04652918187562211,
614,118.0,119,0.046296535966244,
615,13.0,14,0.046065053286412784,
616,19.0,20,0.04583472801998072,
617,78.0,79,0.045605554379880814,
618,9.0,10,0.04537752660798141,
619,110.0,111,0.0451506389749415,
620,18.0,19,0.044924885780066794,
621,48.0,49,0.04470026135116646,
622,82.0,83,0.04447676004441063,
623,14.0,15,0.04425437624418858,
624,24.0,25,0.04403310436296763,
625,126.0,127,0.043812938841152796,
626,9.0,10,0.04359387414694703,
627,12.0,13,0.043375904776212296,
628,91.0,92,0.043159025252331236,
629,22.0,23,0.04294323012606958,
630,110.0,111,0.04272851397543923,
631,63.0,64,0.04251487140556204,
632,81.0,82,0.04230229704853423,
633,12.0,13,0.04209078556329156,
634,28.0,29,0.0418803316354751,
635,22.0,23,0.041670929977297724,
636,11.0,12,0.04146257532741124,
637,84.0,85,0.04125526245077418,
638,35.0,36,0.04104898613852031,
639,12.0,13,0.04084374120782771,
640,72.0,73,0.04063952250178857,
641,127.0,128,0.04043632488927963,
642,90.0,91,0.04023414326483323,
643,115.0,116,0.040032972548509065,
644,67.0,68,0.03983280768576652,
645,95.0,96,0.03963364364733769,
646,89.0,90,0.039435475429100995,
647,103.0,104,0.03923829805195549,
648,136.0,137,0.03904210656169572,
649,20.0,21,0.03884689602888724,
650,9.0,10,0.0386526615487428,
651,22.0,23,0.03845939824099909,
652,92.0,93,0.03826710124979409,
653,103.0,104,0.038075765743545126,
654,25.0,26,0.0378853869148274,
655,41.0,42,0.03769595998025326,
656,77.0,78,0.03750748018035199,
657,144.0,145,0.037319942779450235,
658,57.0,58,0.037133343065552986,
659,26.0,27,0.03694767635022522,
660,71.0,72,0.036762937968474095,
661,86.0,87,0.03657912327863173,
662,20.0,21,0.036396227662238566,
663,123.0,124,0.03621424652392737,
664,100.0,101,0.036033175291307735,
665,18.0,19,0.03585300941485119,
666,9.0,10,0.035673744367776934,
667,18.0,19,0.03549537564593805,
668,29.0,30,0.035317898767708356,
669,111.0,112,0.03514130927386981,
670,9.0,10,0.03496560272750046,
671,14.0,15,0.03479077471386296,
672,24.0,25,0.03461682084029365,
673,83.0,84,0.034443736736092176,
674,9.0,10,0.034271518052411715,
675,166.0,167,0.034100160462149656,
676,116.0,117,0.03392965965983891,
677,41.0,42,0.033760011361539714,
678,56.0,57,0.03359121130473201,
679,16.0,17,0.033423255248208356,
680,104.0,105,0.03325613897196732,
681,127.0,128,0.03308985827710748,
682,14.0,15,0.032924408985721944,
683,11.0,12,0.03275978694079333,
684,57.0,58,0.032595988006089364,
685,108.0,109,0.032433008066058915,
686,43.0,44,0.03227084302572862,
687,21.0,22,0.032109488810599975,
688,163.0,164,0.031948941366546975,
689,110.0,111,0.03178919665971424,
690,16.0,17,0.03163025067641567,
691,23.0,24,0.03147209942303359,
692,11.0,12,0.03131473892591842,
693,30.0,31,0.031158165231288826,
694,111.0,112,0.03100237440513238,
695,90.0,91,0.030847362533106718,
696,87.0,88,0.030693125720441184,
697,26.0,27,0.030539660091838977,
698,24.0,25,0.03038696179137978,
699,10.0,11,0.030235026982422884,
700,78.0,79,0.030083851847510768,
701,24.0,25,0.029933432588273214,
702,33.0,34,0.029783765425331846,
703,9.0,10,0.029634846598205186,
704,90.0,91,0.02948667236521416,
705,21.0,22,0.029339239003388088,
706,14.0,15,0.029192542808371146,
707,11.0,12,0.02904658009432929,
708,39.0,40,0.028901347193857643,
709,12.0,13,0.028756840457888354,
710,26.0,27,0.02861305625559891,
711,123.0,124,0.028469990974320916,
712,11.0,12,0.02832764101944931,
713,13.0,14,0.028186002814352063,
714,95.0,96,0.0280450728002803,
715,11.0,12,0.0279048474362789,
716,140.0,141,0.027765323199097504,
717,22.0,23,0.027626496583102015,
718,102.0,103,0.027488364100186506,
719,16.0,17,0.027350922279685573,
720,32.0,33,0.027214167668287145,
721,18.0,19,0.02707809682994571,
722,33.0,34,0.02694270634579598,
723,21.0,22,0.026807992814067,
724,89.0,90,0.026673952849996664,
725,11.0,12,0.02654058308574668,
726,20.0,21,0.026407880170317945,
727,142.0,143,0.026275840769466357,
728,22.0,23,0.026144461565619025,
729,20.0,21,0.02601373925779093,
730,25.0,26,0.025883670561501974,
731,94.0,95,0.025754252208694463,
732,22.0,23,0.02562548094765099,
733,26.0,27,0.025497353542912736,
734,16.0,17,0.02536986677519817,
735,24.0,25,0.02524301744132218,
736,87.0,88,0.025116802354115567,
737,39.0,40,0.024991218342344988,
738,71.0,72,0.024866262250633264,
739,101.0,102,0.024741930939380097,
740,31.0,32,0.024618221284683196,
741,11.0,12,0.02449513017825978,
742,27.0,28,0.02437265452736848,
743,99.0,100,0.024250791254731636,
744,87.0,88,0.024129537298457977,
745,23.0,24,0.024008889611965685,
746,11.0,12,0.023888845163905856,
747,157.0,158,0.023769400938086327,
748,20.0,21,0.023650553933395897,
749,142.0,143,0.023532301163728918,
750,20.0,21,0.023414639657910272,
751,25.0,26,0.023297566459620722,
752,113.0,114,0.023181078627322618,
753,22.0,23,0.023065173234186005,
754,190.0,191,0.022949847368015076,
755,12.0,13,0.022835098131175,
756,130.0,131,0.022720922640519125,
757,148.0,149,0.02260731802731653,
758,130.0,131,0.022494281437179946,
759,125.0,126,0.022381810029994047,
760,145.0,146,0.022269900979844076,
761,53.0,54,0.022158551474944856,
762,109.0,110,0.022047758717570132,
763,11.0,12,0.021937519923982282,
764,11.0,12,0.021827832324362372,
765,24.0,25,0.02171869316274056,
766,13.0,14,0.021610099696926857,
767,12.0,13,0.021502049198442223,
768,21.0,22,0.021394538952450012,
769,121.0,122,0.02128756625768776,
770,15.0,16,0.021181128426399323,
771,12.0,13,0.021075222784267326,
772,51.0,52,0.020969846670345987,
773,91.0,92,0.020864997436994256,
774,91.0,92,0.020760672449809284,
775,13.0,14,0.020656869087560238,
776,134.0,135,0.020553584742122436,
777,89.0,90,0.020450816818411825,
778,172.0,173,0.020348562734319765,
